,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
242,"6w,",4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"5n,",4,b38,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"4d,",4,b37,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,6,f28,f1,f1,f1,f2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"6n,",4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,4,f27,f+3,s3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,6,f28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,4,m2,v1,l2,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,5,b27,b3,b3,b3,b3,b3,b3,s2,f+2,l2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,
255,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,4,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"4d,",6,f38,b3,b3,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,4,f27,f3,b3,b2,f1,f1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,4,b28,f1,f1,f2,f3,b2,f1,f2,b3,b2,f+3,s#,,,,,,,,,,,,,,,,,,,,,,,,,
