,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
224,"6n,",6,f2,f2,b2,b2,b2,b2,b2,b2,b3,b2,b3,b2,f1*,,,,,,,,,,,,,,,,,,,,,
225,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,6,b3,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"4w,",6,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"6d,",6,f1,f1,f3,s2,f3,s2,b-1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4,s2,f-1,r2,o2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"4n,",4,b3,f2,b3,b3,b+1,r2,u^2*,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,4,f1,r2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"6n,",5,b3,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,6,b3,b3,b2,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"4n,",5,b2,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,4,b2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,6+,b2,z2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,4,b2,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,6,b2,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"4n,",4,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"6w,",4,f1,f3,b3,s2,f-1,l2,r2,u^1n@,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4+,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"4w,",5,f1,f2,b2,f1,f2,f1,f1,f3,b2,s3,b2,b3,b2n@,,,,,,,,,,,,,,,,,,,,,
247,4,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"4n,",6,b3,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"5#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,4,f2,f3,b2,f2,b2,s2,f3,b2,f3,b1,f2,f3d@,,,,,,,,,,,,,,,,,,,,,,,
251,4,b3,r2,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"4n,",6,b2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,4,b2,f2,b2,f3,b3,f2,b2,b3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,
254,"4w,",5,b1,r2,f1,r3,b+3,s2,v2*,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,4,b2,f1,f3,b3,s2,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,6,b2,b2,b2,b2,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,4,b2,f2,f3,b2,b2,b2,b2,f1,f2,b3,s2,s2,s3,s2,f2,f1,f3,b2n#,,,,,,,,,,,,,,,,,
