,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
251,4,f28,f+3,s1,v1,f+3,z3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"4d,",5,s29,f1,f1,f2,b2,f2,f3,b3,b3,b3,b2,f3,b;3,f3d@,,,,,,,,,,,,,,,,,,,,,,,,
255,"6n,",5,b28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,4,s37,f-3,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"4w,",5,b28,f+3,b2,z3,m3,p3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"4n,",6+,b37,i3,m2,o1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,5,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,c6,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,"6n,",4,f18,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"c4n,",6,s38,b3,b3,b2,f2,f1,f2,f2,s3,s+3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,4,s37,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
